T(¡æ)	P(atm)	Cu(g)	S(g)	Fe(g)	SiO2(g)	Pb(g)	Zn(g)	MgO(g)	Al2O3(g)	Ni(g)	Sb(g)	Bi(g)	CaO(g)	As(g)	O2(g)
1200	1	19.046	25.119	20.864	18.818	0.418	2.32	1.123	1.65	0.011	0.056	0.011	0.523	0.073	21
1200	1	18.595	20.861	22.019	17.447	0.044	0.235	0.517	2.15	0.009	0.087	0.01	1.283	0.011	21
1200	1	16.202	11.491	28.163	22.99	0.654	0.739	0.655	1.104	0.2	0.035	0.009	0.336	0.021	21
1200	1	19.115	22.867	23.517	15.445	0.05	0.322	0.569	1.819	0.106	0.071	0.009	0.66	0.009	21
1200	1	18.099	14.534	26.286	20.688	0.544	0.792	0.614	1.766	0.163	0.077	0.012	1.409	0.072	21
1200	1	19.737	23.276	24.207	17.791	0.027	0.403	3.21	0.782	0.567	0.053	0.009	0.215	0.009	21
1200	1	16.132	23.502	19.559	23.859	0.059	0.286	1.129	3.613	0.009	0.039	0.018	5.357	0.026	21
1200	1	19.419	26.493	22.699	17.088	0.124	0.649	0.271	1.727	0.014	0.046	0.013	0.432	0.156	21
1200	1	21.019	28.311	26.838	7.928	0.186	1.087	1.143	1.535	0.33	0.05	0.01	0.372	0.019	21
1200	1	17.196	20.28	20.458	23.55	0.041	0.075	1.297	2.785	0.403	0.113	0.009	0.317	0.009	21
1200	1	19.053	21.037	20.479	19.54	0.429	2.049	1.216	2.045	0.007	0.088	0.009	0.642	0.007	21
1200	1	20.326	22.953	23.242	17.663	0.04	0.292	1.434	2.189	0.438	0.114	0.011	1.725	0.009	21
1200	1	18.808	17.31	31.625	11.124	0.683	0.96	0.652	1.17	0.196	0.027	0.013	0.914	0.109	21
1200	1	18.205	29.714	23.689	12.888	0.485	1.732	1.045	2.401	0.044	0.047	0.028	3.126	0.482	21
1200	1	18.395	16.032	29.399	16.53	0.555	0.698	0.488	1.041	0.158	0.026	0.009	0.35	0.019	21
1200	1	16.435	21.856	21.714	21.681	0.155	0.259	0.984	3.336	0.01	0.033	0.017	4.811	0.027	21
1200	1	18.121	16.937	22.34	22.851	0.847	3.177	1.456	1.183	0.003	0.063	0.009	0.561	0.009	21
1200	1	15.614	9.593	28.332	23.593	0.774	0.868	0.474	1.378	0.009	0.015	0.011	1.53	0.027	21
1200	1	19.975	27.22	23.931	11.807	0.048	0.445	0.571	2.474	0.016	0.034	0.012	1.629	0.014	21
1200	1	18.438	17.204	24.583	17.138	0.274	0.461	0.669	1.726	0.038	0.074	0.009	0.722	0.014	21
1200	1	17.767	24.847	20.689	19.651	0.315	1.283	1.069	1.949	0.084	0.084	0.019	0.488	0.357	21
1200	1	21.087	22.463	22.645	17.158	0.015	0.482	4.035	0.902	0.479	0.065	0.009	0.276	0.009	21
1200	1	19.479	12.608	30.31	13.446	0.66	0.935	2.709	0.677	0.309	0.038	0.01	0.367	0.022	21
1200	1	18.879	22.71	26.839	18.417	0.109	0.317	2.516	0.415	0.714	0.048	0.009	0.103	0.01	21
1200	1	18.328	21.393	28.242	16.443	0.424	0.844	0.791	0.822	0.35	0.037	0.012	0.255	0.128	21
1200	1	18.66	18.912	24.05	17.332	0.227	0.283	1.201	2.685	0.365	0.112	0.01	0.749	0.014	21
1200	1	18.665	24.046	27.585	14.364	0.391	0.866	0.725	1.223	0.279	0.038	0.016	0.856	0.207	21
1200	1	17.778	9.209	34.104	13.496	0.969	1.079	0.489	0.769	0.121	0.015	0.01	0.405	0.027	21
1200	1	18.804	24.924	21.88	18.225	0.186	1.207	0.713	1.839	0.014	0.038	0.009	0.488	0.007	21
1200	1	18.305	32.126	23.228	12.398	0.563	2.226	0.767	2.018	0.021	0.056	0.03	2.251	0.633	21
1200	1	21.659	20.521	22.468	16.796	0	0.485	5.827	0.668	0.702	0.087	0.01	0.479	0.009	21
1200	1	18.216	17.326	27.928	15.479	0.511	0.841	0.399	1.476	0.014	0.02	0.009	0.504	0.018	21
1200	1	20.482	29.202	23.21	10.932	0.868	3.873	1.381	1.288	0.013	0.076	0.021	0.517	0.418	21
1200	1	18.651	23.595	23.96	18.893	0.033	0.159	0.957	1.633	0.395	0.071	0.009	0.311	0.009	21
1200	1	21.119	20.247	29.278	8.88	0.431	0.648	0.638	1.509	0.055	0.036	0.01	0.442	0.018	21
1200	1	16.822	11.329	28.044	20.217	0.658	0.789	0.396	1.285	0.009	0.036	0.01	0.814	0.022	21
1200	1	19.182	23.07	20.055	20.04	0.476	2.638	1.364	1.641	0.006	0.073	0.009	0.621	0.004	21
1200	1	17.659	17.272	29.16	18.698	0.527	0.93	0.993	0.631	0.4	0.033	0.009	0.248	0.016	21
1200	1	20.857	16.034	19.27	23.088	0.251	0.493	0.655	3.747	0.083	0.194	0.016	3.591	0.08	21
1200	1	18.768	18.197	24.598	17.116	0.762	2.528	1.348	1.738	0.005	0.056	0.012	1.616	0.016	21
1200	1	19.524	22.57	20.202	19.274	0.425	2.362	1.271	1.685	0.004	0.086	0.009	0.689	0.004	21
1200	1	20.271	31.399	23.943	10.849	0.523	2.09	2.626	1.029	0.323	0.084	0.03	0.712	0.734	21
1200	1	18.44	28.097	23.41	13.781	0.393	1.463	0.335	1.488	0.02	0.075	0.023	0.59	0.514	21
1200	1	17.33	24.604	22.944	21.168	0.029	0.136	1.078	2.311	0.287	0.039	0.014	2.993	0.018	21
1200	1	20.078	21.814	22.312	19.204	0.025	0.423	3.209	1.355	0.473	0.08	0.01	0.832	0.009	21
1200	1	17.755	18.204	28.302	15.189	0.808	1.736	0.573	1.291	0.015	0.03	0.017	0.953	0.254	21
1200	1	20.614	22.33	27.459	10.976	0.311	1.036	2.283	1.015	0.444	0.064	0.01	0.504	0.012	21
1200	1	17.585	20.275	20.914	19.989	0.23	0.707	1.046	3.157	0.01	0.078	0.014	2.8	0.021	21
1200	1	21.378	24.719	23.784	12.151	0.01	0.336	2.839	1.771	0.309	0.063	0.012	1.414	0.013	21
1200	1	22.373	25.8	22.593	12.345	0.028	0.364	0.402	2.728	0.012	0.096	0.011	1.445	0.009	21
1200	1	21.739	19.517	18.085	21.992	0.003	0.231	1.598	3.329	0.153	0.171	0.013	2.856	0.009	21
1200	1	19.087	22.564	19.06	23.149	0.482	2.759	1.964	1.384	0.079	0.073	0.009	0.519	0.003	21
1200	1	18.291	23.146	22.779	19.995	0.098	0.54	2.049	1.904	0.438	0.07	0.011	1.49	0.013	21
1200	1	18.942	27.493	18.024	21.647	0.592	2.135	0.434	2.982	0.03	0.177	0.035	3	0.824	21
1200	1	17.565	28.222	25.07	17.923	0.369	1.251	1.058	0.926	0.436	0.057	0.021	0.142	0.445	21
1200	1	18.564	25.219	24.616	17.029	0.036	0.242	1.744	1.815	0.421	0.043	0.012	2.089	0.016	21
1200	1	18.556	24.998	20.134	19.87	0.295	1.397	1.34	2.65	0.07	0.084	0.019	2.853	0.226	21
1200	1	18.806	20.493	18.521	20.184	0.186	0.98	1.058	3.148	0.012	0.121	0.01	0.645	0.008	21
1200	1	19.52	22.996	18.159	22.344	0.443	2.253	1.203	2.607	0.01	0.124	0.016	2.32	0.165	21
1200	1	20.54	25.607	21.524	13.983	0.469	2.679	1.41	1.905	0.009	0.07	0.01	0.602	0.005	21
1200	1	19.295	22.808	21.28	19.018	0.071	0.445	1.746	1.938	0.177	0.077	0.012	0.699	0.086	21
1200	1	19.776	24.286	21.159	18.982	0.61	3.326	1.943	1.187	0.211	0.081	0.009	0.497	0.002	21
1200	1	20.932	18.32	25.187	13.671	0.303	0.533	1.602	2.216	0.154	0.095	0.012	1.774	0.017	21
1200	1	18.874	20.029	26.732	15.502	0.321	0.476	0.592	1.714	0.123	0.041	0.011	1.265	0.018	21
1200	1	18.555	20.647	21.5	19.456	0.041	0.289	1.243	1.936	0.14	0.085	0.009	0.637	0.009	21
1200	1	18.98	21.281	25.058	15.248	0.128	0.287	0.764	1.645	0.239	0.078	0.009	0.589	0.011	21
1200	1	19.14	15.761	20.391	24.327	0.158	0.404	2.35	2.113	0.267	0.124	0.011	1.859	0.012	21
1200	1	18.98	23.161	18.664	20.409	0.533	2.895	1.795	2.454	0.004	0.089	0.012	2.013	0.008	21
1200	1	18.341	13.481	29.297	13.859	0.621	0.771	0.437	1.487	0.01	0.046	0.01	0.9	0.022	21
1200	1	18.446	27.185	25.335	18.42	0.243	0.871	1.052	1.063	0.556	0.078	0.018	0.802	0.305	21
1200	1	20.311	25.69	24.759	12.56	0.113	0.507	0.358	1.92	0.015	0.033	0.009	0.452	0.011	21
1200	1	17.373	25.453	21.323	17.671	0.032	0.145	1.132	3.891	0.01	0.039	0.019	5.692	0.028	21
1200	1	17.646	18.338	25.06	19.229	0.304	0.518	0.557	1.654	0.085	0.046	0.01	1.025	0.016	21
1200	1	19.785	23.452	18.793	21.139	0.667	3.698	1.795	1.492	0.001	0.085	0.009	0.607	0.001	21
1200	1	17.538	14.603	22.579	24.043	0.42	0.793	1.013	2.421	0.202	0.107	0.01	1.152	0.014	21
1200	1	17.945	19.563	21.071	21.908	0.102	0.223	0.997	2.45	0.179	0.094	0.009	0.476	0.01	21
1200	1	18.538	22.986	24.176	17.166	0.188	0.42	0.762	2.394	0.086	0.038	0.013	2.555	0.02	21
1200	1	20.412	24.637	21.499	16.239	0.009	0.186	0.444	2.662	0.012	0.077	0.009	0.45	0.009	21
1200	1	18.313	28.218	20.913	15.229	0.406	1.536	0.717	2.76	0.024	0.093	0.024	0.851	0.494	21
1200	1	20.956	21.127	20.968	17.762	0.224	1.521	4.516	1.209	0.465	0.095	0.01	0.485	0.007	21
1200	1	17.408	26.186	20.659	21.346	0.345	1.416	1.594	1.564	0.17	0.066	0.021	0.308	0.447	21
1200	1	16.911	14.079	27.373	20.148	0.561	0.712	0.582	1.514	0.092	0.033	0.01	1.026	0.021	21
1200	1	21.417	23.428	21.345	14.416	0.063	0.539	1.288	2.98	0.111	0.118	0.013	2.069	0.035	21
1200	1	22.208	22.012	24.038	13.101	0.06	0.38	3.17	1.971	0.562	0.128	0.012	1.727	0.011	21
1200	1	18.505	25.28	21.55	18.907	0.015	0.167	0.698	2.922	0.009	0.041	0.014	3.271	0.019	21
1200	1	21.202	25.655	23.655	12.08	0.015	0.238	0.336	2.149	0.01	0.067	0.009	0.555	0.009	21
1200	1	18.906	21.746	25.701	16.052	0.123	0.297	1.069	1.238	0.344	0.067	0.009	0.483	0.011	21
1200	1	18.87	25.455	20.26	19.647	0.206	0.862	0.579	2.906	0.018	0.094	0.02	2.713	0.268	21
1200	1	20.205	30.203	24.099	12.489	0.343	1.458	1.803	1.059	0.22	0.054	0.022	0.267	0.485	21
1200	1	18.916	21.859	24.098	16.803	0.177	0.592	1.18	1.596	0.112	0.039	0.009	0.47	0.011	21
1200	1	17.866	36.043	25.001	12.626	0.705	2.553	0.318	0.742	0.145	0.045	0.036	0.169	0.976	21
1200	1	20.389	27.148	24.734	9.705	0.065	0.576	0.472	2.111	0.018	0.036	0.01	0.541	0.01	21
1200	1	20.297	22.366	24.725	12.677	0.134	0.346	0.365	1.908	0.01	0.069	0.01	0.661	0.011	21
1200	1	17.872	18.793	20.748	20.871	0.075	0.238	0.54	2.294	0.01	0.098	0.009	0.774	0.01	21
1200	1	17.499	24.554	20.274	23.066	0.298	1.417	2.306	1.683	0.21	0.056	0.019	1.976	0.269	21
1200	1	18.38	25.01	21.39	18.001	0.102	0.448	0.825	2.804	0.03	0.062	0.016	2.555	0.129	21
1200	1	18.748	34.583	24.267	10.178	0.595	2.233	0.382	1.701	0.029	0.056	0.033	1.281	0.806	21
1200	1	19.527	20.971	21.228	19.508	0.159	0.461	0.558	2.671	0.011	0.089	0.01	0.785	0.011	21
1200	1	19.096	27.171	23.547	14.607	0.195	0.781	0.482	2.156	0.016	0.04	0.016	1.558	0.193	21
1200	1	22.171	25.401	27.14	7.798	0.215	0.55	0.323	1.827	0.021	0.044	0.01	0.441	0.013	21
1200	1	18.982	21.601	19.481	22.506	0.018	0.175	0.592	3.052	0.01	0.099	0.013	2.884	0.014	21
1200	1	19.776	27.006	24.5	13.228	0.079	0.523	1.042	1.879	0.186	0.039	0.012	1.09	0.065	21
1200	1	18.946	27.42	22.643	17.835	0.376	1.628	3.399	0.501	0.42	0.06	0.023	0.186	0.53	21
1200	1	17.535	18.682	22.1	22.203	0.705	2.321	1.053	1.717	0.011	0.073	0.014	0.53	0.181	21
1200	1	17.585	33.299	22.752	15.789	0.741	2.895	0.442	0.96	0.026	0.056	0.033	0.317	0.873	21
1200	1	17.621	20.841	20.471	23.418	0.055	0.356	2.405	2.131	0.225	0.058	0.013	2.602	0.017	21
1200	1	16.455	18.903	28.905	17.444	0.984	1.993	0.24	0.707	0.02	0.023	0.023	0.322	0.527	21
1200	1	17.456	13.446	25.241	22.429	0.705	1.61	0.744	1.476	0.009	0.053	0.01	0.893	0.017	21
1200	1	17.82	31.588	22.754	15.23	0.542	2.187	0.621	1.694	0.023	0.045	0.028	1.46	0.615	21
1200	1	20.84	22.907	21.998	17.778	0.128	1.027	3.38	1.071	0.363	0.067	0.009	0.342	0.008	21
1200	1	18.9	20.919	25.41	17.145	0.215	0.416	0.508	1.456	0.142	0.049	0.009	0.466	0.012	21
1200	1	18.085	24.921	22.105	17.789	0.057	0.358	0.935	2.79	0.036	0.034	0.014	2.939	0.018	21
1200	1	19.888	24.631	24.948	15.209	0.083	0.359	1.044	1.852	0.44	0.096	0.012	1.413	0.068	21
1200	1	17.643	17.587	23.15	22.554	0.388	1.075	2.185	1.584	0.189	0.045	0.011	1.727	0.017	21
1200	1	19.303	21.987	22.365	15.43	0.089	0.521	1.162	2.184	0.07	0.084	0.011	1.616	0.012	21
1200	1	20.06	30.447	23.856	10.511	0.638	2.92	1.114	1.3	0.101	0.072	0.022	0.483	0.441	21
1200	1	20.509	22.453	22.414	17.191	0.061	0.271	1.023	2.972	0.311	0.13	0.013	2.841	0.012	21
1200	1	18.703	18.971	26.946	15.826	0.413	0.719	0.351	1.527	0.013	0.024	0.009	0.443	0.016	21
1200	1	21.098	25.129	22.631	14.759	0.185	1.262	1.97	1.517	0.17	0.061	0.009	0.431	0.007	21
1200	1	17.845	15.09	24.105	22.131	0.881	2.832	1.263	1.114	0.004	0.054	0.009	0.54	0.012	21
1200	1	18.81	24.411	24.15	18.028	0.057	0.36	2.689	1.432	0.519	0.051	0.013	1.791	0.061	21
1200	1	20.278	23.447	19.046	19.025	0.818	4.396	2.113	1.467	0	0.094	0.01	0.664	0.001	21
1200	1	17.714	15.385	26.302	21.441	0.524	0.97	2.496	0.572	0.33	0.039	0.012	0.281	0.128	21
1200	1	20.153	21.859	23.68	14.336	0.038	0.275	1.594	1.741	0.268	0.097	0.01	0.923	0.009	21
1200	1	19.195	17.085	19.103	21.807	0.171	0.264	0.928	4.3	0.013	0.156	0.017	4.886	0.021	21
1200	1	19.242	17.681	24.152	16.579	0.7	2.333	1.571	1.727	0.053	0.073	0.01	0.559	0.012	21
1200	1	20.83	25.804	18.988	17.227	0.45	1.824	1.007	3.244	0.07	0.181	0.028	3.05	0.531	21
1200	1	16.689	15.153	25.002	22.737	0.441	0.603	1.6	1.812	0.135	0.031	0.013	2.338	0.024	21
1200	1	21.769	27.253	23.407	12.392	0.144	0.993	0.559	1.886	0.008	0.055	0.009	0.457	0.008	21
1200	1	19.989	23.485	18.594	20.446	0.759	4.179	2.018	1.472	0	0.091	0.009	0.643	0	21
1200	1	19.73	25.625	22.181	18.265	0.005	0.205	0.365	2.186	0.009	0.042	0.01	1.342	0.012	21
1200	1	18.937	33.22	24.773	10.37	0.476	1.904	0.316	1.412	0.032	0.037	0.026	0.339	0.619	21
1200	1	21.352	20.426	20.671	20.325	0.067	0.26	1.191	3.364	0.453	0.203	0.015	3.437	0.064	21
1200	1	16.95	22.542	22.427	21.518	0.626	1.9	1.345	1.404	0.119	0.066	0.022	0.338	0.465	21
1200	1	19.073	21.094	22.874	17.836	0.195	0.553	0.551	2.524	0.023	0.07	0.011	1.734	0.014	21
1200	1	19.553	23.78	24.768	15.947	0.348	1.067	2.018	1.009	0.238	0.048	0.016	0.301	0.259	21
1200	1	20.41	19.684	21.091	19.509	0.006	0.416	5.164	1.143	0.606	0.09	0.009	0.272	0.009	21
1200	1	19.67	35.835	23.92	8.41	0.956	4.052	0.951	1.02	0.024	0.069	0.034	0.378	0.876	21
1200	1	17.961	21.232	20.304	19.552	0.083	0.415	0.859	2.954	0.01	0.088	0.012	2.235	0.014	21
1200	1	17.856	20.659	20.709	23.355	0.171	0.818	2.833	1.981	0.257	0.054	0.013	2.587	0.017	21
1200	1	17.335	22.159	19.367	21.261	0.027	0.145	1.819	3.695	0.109	0.074	0.016	3.962	0.022	21
1200	1	18.451	33.456	26.812	12.256	0.496	1.789	0.707	0.609	0.388	0.045	0.027	0.115	0.668	21
1200	1	19.661	23.412	18.746	20.833	0.706	3.906	1.9	1.497	0.002	0.085	0.009	0.628	0.001	21
1200	1	18.142	22.691	18.95	22.88	0.501	2.52	1.214	1.725	0.009	0.092	0.013	0.704	0.164	21
1200	1	16.632	19.166	26.333	19.505	0.645	1.283	0.424	1.44	0.016	0.024	0.018	1.227	0.279	21
1200	1	18.05	17.331	27.868	15.373	0.568	0.905	0.726	1.637	0.161	0.05	0.012	0.392	0.118	21
1200	1	17.051	24.07	21.997	19.929	0.058	0.143	1.167	3.242	0.151	0.044	0.017	4.465	0.024	21
1200	1	19.036	26.246	22.167	15.198	0.341	1.609	1.258	2.376	0.168	0.081	0.016	1.291	0.182	21
1200	1	19.373	25.309	19.984	18.983	0.347	1.309	0.419	2.607	0.021	0.138	0.024	2.086	0.469	21
1200	1	19.67	24.25	24.657	12.975	0.052	0.343	0.643	1.762	0.163	0.065	0.009	0.598	0.009	21
1200	1	17.892	34.467	21.855	15.775	0.798	2.867	0.252	1.592	0.034	0.099	0.041	1.321	1.112	21
1200	1	17.574	18.692	21.958	21.033	0.417	0.825	0.672	2.872	0.016	0.092	0.017	1.786	0.199	21
1200	1	18.341	20.786	22.164	18.686	0.044	0.228	0.553	1.937	0.067	0.083	0.009	1.039	0.01	21
1200	1	16.644	29.607	19.933	18.936	0.585	2.047	0.551	2.353	0.03	0.097	0.031	0.332	0.798	21
1200	1	18.661	29.796	24.721	12.554	0.346	1.303	0.663	1.63	0.185	0.058	0.023	0.969	0.446	21
1200	1	17.444	29.963	20.56	20.032	0.642	2.236	0.397	2.114	0.028	0.103	0.035	2.187	0.853	21
1200	1	19.958	22.859	26.749	12.774	0.266	0.818	0.909	1.313	0.273	0.061	0.009	0.457	0.011	21
1200	1	17.786	20.724	20.126	21.13	0.035	0.192	1.191	2.848	0.067	0.086	0.012	2.482	0.015	21
1200	1	21.87	25.783	22.769	13.558	0.055	0.474	0.517	2.431	0.063	0.087	0.01	1.135	0.009	21
1200	1	17.621	25.868	21.234	20.634	0.212	1.051	0.659	2.12	0.015	0.038	0.015	1.696	0.171	21
1200	1	21.434	25.89	23.52	14.208	0	0.288	1.365	1.619	0.152	0.051	0.009	0.362	0.009	21
1200	1	18.104	21.325	23.102	20.813	0.232	0.877	1.967	1.698	0.368	0.064	0.011	1.306	0.013	21
1200	1	21.345	19.002	26.278	11.905	0.229	0.624	4.208	0.796	0.496	0.068	0.01	0.376	0.014	21
1200	1	18.928	31.409	21.276	14.837	0.68	2.538	0.48	2.144	0.029	0.122	0.035	1.61	0.871	21
1200	1	20.536	22.042	18.319	19.582	0.245	1.146	0.918	3.693	0.015	0.167	0.019	3.781	0.175	21
1200	1	20.154	30.15	24.935	11.359	0.618	2.9	1.488	0.953	0.304	0.07	0.019	0.344	0.342	21
1200	1	20.284	25.294	23.306	13.848	0.022	0.176	0.769	2.604	0.163	0.077	0.011	1.358	0.013	21
1200	1	19.149	19.154	23.874	18.657	0.173	0.453	2.007	1.408	0.296	0.075	0.01	0.769	0.012	21
1200	1	17.695	24.844	23.562	19.957	0.045	0.296	0.92	1.854	0.282	0.034	0.011	1.652	0.014	21
1200	1	18.541	25.463	25.406	17.845	0.151	0.763	1.451	1.304	0.53	0.053	0.011	1.364	0.012	21
1200	1	17.574	15.059	24.227	22.338	0.83	2.541	1.191	1.262	0.005	0.05	0.01	0.865	0.014	21
1200	1	19.761	24.058	22.139	17.398	0.112	0.69	0.47	1.826	0.009	0.066	0.01	0.569	0.037	21
1200	1	20.377	20.575	26.33	13.026	0.308	0.688	1.923	1.238	0.214	0.054	0.011	0.435	0.073	21
1200	1	19.312	23.446	27.515	13.121	0.167	0.346	1.033	1.353	0.446	0.058	0.009	0.318	0.012	21
1200	1	20.428	27.603	24.65	10.239	0.061	0.578	0.445	2.084	0.018	0.03	0.01	0.488	0.01	21
1200	1	20.807	23.549	21.312	15.458	0.431	2.455	3.087	1.6	0.293	0.095	0.011	0.658	0.02	21
1200	1	19.221	24.279	22.248	16.023	0.079	0.241	0.815	3.365	0.014	0.063	0.016	3.956	0.022	21
1200	1	18.486	25.062	21.579	15.152	0.234	0.867	0.882	2.682	0.044	0.094	0.019	1.521	0.293	21
1200	1	20.539	24.747	20.266	17.902	0.529	2.986	1.471	1.616	0.003	0.078	0.009	0.571	0.003	21
1200	1	21.109	26.4	23.816	13.92	0.033	0.374	1.381	1.636	0.181	0.051	0.011	0.602	0.051	21
1200	1	18.117	25.271	25.759	16.412	0.081	0.179	1.264	2.03	0.428	0.04	0.014	2.735	0.019	21
1200	1	18.078	32.865	23.677	15.071	0.627	2.388	1.801	0.557	0.254	0.053	0.033	0.169	0.875	21
1200	1	19.567	21.13	25.338	15.404	0.255	0.494	0.33	1.764	0.011	0.044	0.009	0.484	0.014	21
1200	1	19.543	28.522	24.03	14.215	0.446	2.103	1.809	0.989	0.298	0.059	0.018	0.32	0.327	21
1200	1	18.61	19.574	22.246	21.02	0.13	0.365	1.32	1.638	0.129	0.066	0.009	0.513	0.011	21
1200	1	18.011	24.884	20.461	18.501	0.237	1.272	1.429	3.32	0.007	0.054	0.017	4.568	0.022	21
1200	1	19.387	20.735	19.235	23.848	0.387	2.35	3.712	0.904	0.325	0.079	0.009	0.416	0.004	21
1200	1	21.369	16.38	19.38	20.038	0.268	0.61	0.661	4.129	0.019	0.201	0.016	3.872	0.077	21
1200	1	16.688	31.9	24.362	16.495	0.794	2.584	0.189	0.812	0.029	0.037	0.034	0.232	0.924	21
1200	1	16.225	19.736	28.185	18.474	0.965	2.037	0.23	0.691	0.02	0.024	0.024	0.307	0.563	21
1200	1	17.458	9.909	30.757	16.397	0.812	0.943	0.364	1.103	0.01	0.031	0.01	0.549	0.024	21
1200	1	16.385	9.257	31.101	20.615	0.848	0.949	0.491	0.688	0.143	0.015	0.009	0.354	0.024	21
